Symbol,Name,Stock Exchange,RBICS Economy,Lookback Closing Price ,Purchase Closing Price,Recent Closing Price,Current Market Value,Look Back Common Shares,Purchase Price Common Shares,Current Common Shares
A,"Agilent Technologies, Inc.",NYSE,Healthcare,42.5,40.9,136.5,"40,761.8",348.1,335.3,296.0
AA,Alcoa Corporation,NYSE,Non-Energy Materials,91.4,142.1,41.4,"7,673.8",118.3,135.2,176.9
AAON,"AAON, Inc.",NASDAQ,Industrials,9.0,22.4,63.1,"3,256.4",55.4,54.5,53.1
AAP,"Advance Auto Parts, Inc.",NYSE,Consumer Cyclicals,76.6,159.3,188.1,"10,930.1",72.4,73.0,60.1
AAPL,Apple Inc.,NASDAQ,Technology,16.3,27.6,144.8,"2,400,167.0","26,106.4","23,459.4","16,070.8"
AAT,"American Assets Trust, Inc.",NYSE,Finance,22.1,39.8,27.2,"1,673.0",39.3,43.7,60.5
AAWW,"Atlas Air Worldwide Holdings, Inc.",NASDAQ,Industrials,47.6,49.3,100.5,"2,851.9",26.3,24.8,28.3
AB,AllianceBernstein Holding L.P.,NYSE,Finance,15.2,25.8,35.5,"3,484.8",105.2,97.2,97.3
ABC,AmerisourceBergen Corporation,NYSE,Healthcare,39.0,90.2,155.9,"32,060.8",259.3,218.7,207.3
ABCB,Ameris Bancorp,NASDAQ,Finance,10.7,25.6,51.3,"3,548.5",23.8,28.2,69.4
ABG,"Asbury Automotive Group, Inc.",NYSE,Consumer Cyclicals,22.9,75.9,158.0,"3,421.8",31.8,29.8,22.1
ABM,ABM Industries Incorporated,NYSE,Business Services,21.7,28.7,44.4,"2,901.4",53.4,55.8,66.2
ABMD,"ABIOMED, Inc.",NASDAQ,Healthcare,18.5,38.1,267.6,"12,194.9",38.6,40.9,45.5
ABT,Abbott Laboratories,NYSE,Healthcare,54.2,45.0,96.9,"172,355.0","1,557.8","1,505.8","1,751.2"
ACGL,Arch Capital Group Ltd.,NASDAQ,Finance,12.0,19.7,51.7,"18,010.2",402.6,387.3,369.1
ACHC,"Acadia Healthcare Company, Inc.",NASDAQ,Healthcare,12.3,61.2,82.3,"7,417.2",32.1,59.9,90.8
ACIW,"ACI Worldwide, Inc.",NASDAQ,Technology,10.1,20.2,23.9,"2,683.5",100.5,114.9,114.0
ACLS,"Axcelis Technologies, Inc.",NASDAQ,Technology,7.2,10.2,57.3,"1,937.4",26.6,28.0,33.0
ACM,AECOM,NYSE,Industrials,22.9,30.4,73.9,"10,148.3",117.1,151.3,139.6
ACN,Accenture Plc Class A,NYSE,Technology,57.3,89.3,278.8,"186,052.9",640.9,628.1,664.8
ADBE,Adobe Incorporated,NASDAQ,Technology,31.0,72.7,318.7,"148,991.2",493.8,498.7,464.9
ADC,Agree Realty Corporation,NYSE,Finance,25.0,31.1,67.3,"5,329.7",11.2,17.5,79.8
ADEA,Adeia Inc.,NASDAQ,Consumer Services,19.8,35.8,10.7,"1,111.5",51.5,52.8,104.3
ADI,"Analog Devices, Inc.",NASDAQ,Technology,39.1,55.5,140.7,"72,717.6",298.0,311.2,514.3
ADM,Archer-Daniels-Midland Company,NYSE,Consumer Non-Cyclicals,28.6,52.0,94.1,"51,412.2",668.0,636.7,549.3
ADP,"Automatic Data Processing, Inc.",NASDAQ,Business Services,54.8,83.4,235.0,"97,651.7",488.7,482.1,415.3
ADSK,"Autodesk, Inc.",NASDAQ,Technology,36.0,60.1,210.2,"46,314.7",226.8,227.5,215.9
ADTN,"ADTRAN Holdings, Inc.",NASDAQ,Technology,34.6,21.8,22.5,"1,733.4",63.7,54.3,77.4
AEE,Ameren Corporation,NYSE,Utilities,31.6,46.1,80.3,"20,543.1",242.2,242.6,258.4
AEIS,"Advanced Energy Industries, Inc.",NASDAQ,Technology,10.6,23.7,76.5,"2,840.0",44.4,40.1,37.4
AEL,American Equity Investment Life Holding Company,NYSE,Finance,11.5,29.2,41.3,"3,614.2",59.6,75.6,87.6
AEO,"American Eagle Outfitters, Inc.",NYSE,Consumer Cyclicals,14.1,13.9,11.2,"2,081.3",193.7,194.5,187.3
AEP,"American Electric Power Company, Inc.",NASDAQ,Utilities,39.6,60.7,87.2,"44,926.0",482.9,489.2,513.9
AER,AerCap Holdings NV,NYSE,Finance,12.5,38.8,52.5,"12,628.1",139.8,212.3,245.4
AES,AES Corporation,NYSE,Utilities,12.8,13.8,25.8,"16,998.9",767.5,713.0,667.9
AFG,"American Financial Group, Inc.",NYSE,Finance,36.7,60.7,136.1,"11,511.4",98.7,87.9,85.2
AFL,Aflac Incorporated,NYSE,Finance,24.1,30.5,62.7,"39,153.6",933.6,884.9,631.9
AGCO,AGCO Corporation,NYSE,Industrials,50.9,45.2,121.3,"8,901.8",97.2,92.0,74.6
AGM,Federal Agricultural Mortgage Corporation Class C,NYSE,Finance,19.4,30.3,112.1,"1,185.5",8.8,9.4,9.3
AGNC,AGNC Investment Corp.,NASDAQ,Finance,29.3,21.8,7.9,"4,140.0",220.6,352.8,522.7
AGO,Assured Guaranty Ltd.,NYSE,Finance,15.5,26.0,57.0,"3,511.5",182.2,161.9,61.9
AGR,"Avangrid, Inc.",NYSE,Utilities,34.6,43.5,40.0,"15,461.1",50.5,56.5,386.6
AGRO,Adecoagro S.A.,NYSE,Consumer Non-Cyclicals,9.2,8.0,8.5,"1,007.3",120.1,121.0,117.8
AGYS,"Agilysys, Inc.",NASDAQ,Consumer Services,8.1,12.6,61.3,"1,555.8",22.6,22.8,25.0
AIG,"American International Group, Inc.",NYSE,Finance,25.1,56.0,54.6,"41,229.8","1,898.0","1,375.9",760.4
AIMC,Altra Industrial Motion Corp.,NASDAQ,Industrials,19.2,28.4,59.7,"2,618.9",26.8,26.6,65.1
AIN,Albany International Corp. Class A,NYSE,Industrials,24.0,38.0,90.0,"2,920.5",28.0,28.6,31.1
AIR,AAR CORP.,NYSE,Industrials,21.2,27.8,44.2,"1,523.3",40.3,39.8,35.1
AIT,"Applied Industrial Technologies, Inc.",NYSE,Industrials,38.6,45.6,121.2,"4,504.4",42.0,41.3,38.6
AIV,Apartment Investment & Management Co Class A,NYSE,Finance,31.4,47.4,7.7,"1,163.3",94.7,114.5,152.1
AIZ,"Assurant, Inc.",NYSE,Finance,39.6,68.4,132.2,"7,276.4",92.1,70.3,53.2
AJG,Arthur J. Gallagher & Co.,NYSE,Finance,33.3,47.1,177.5,"37,000.2",114.1,161.4,210.3
AJRD,"Aerojet Rocketdyne Holdings, Inc.",NYSE,Industrials,5.5,18.3,47.5,"3,761.3",59.7,58.8,80.4
AKAM,"Akamai Technologies, Inc.",NASDAQ,Technology,32.2,63.0,87.6,"13,791.1",179.4,178.0,159.0
AKR,Acadia Realty Trust,NYSE,Finance,21.0,32.0,13.7,"1,332.7",42.6,67.9,94.9
AL,Air Lease Corporation Class A,NYSE,Finance,25.3,34.3,34.8,"3,814.7",98.9,102.4,110.9
ALB,Albemarle Corporation,NYSE,Non-Energy Materials,64.3,60.1,282.2,"33,047.9",88.8,78.2,117.1
ALE,"ALLETE, Inc.",NYSE,Utilities,41.5,55.1,54.7,"3,071.0",36.8,44.5,57.1
ALG,Alamo Group Inc.,NYSE,Industrials,29.1,48.4,150.3,"1,830.9",11.9,11.3,12.0
ALGN,"Align Technology, Inc.",NASDAQ,Healthcare,23.6,55.9,181.5,"17,311.9",78.5,80.3,78.1
ALGT,Allegiant Travel Company,NASDAQ,Industrials,55.0,150.3,72.2,"1,297.1",19.1,17.5,18.2
ALK,"Alaska Air Group, Inc.",NYSE,Industrials,19.0,59.8,43.3,"5,433.1",141.9,132.6,126.8
ALKS,Alkermes Plc,NASDAQ,Healthcare,18.8,58.6,22.7,"3,722.0",129.6,146.2,164.3
ALL,Allstate Corporation,NYSE,Finance,28.9,70.3,122.6,"33,589.6",505.4,418.0,270.3
ALNY,"Alnylam Pharmaceuticals, Inc",NASDAQ,Healthcare,11.6,97.0,194.0,"24,127.7",42.7,77.2,123.0
ALV,Autoliv Inc.,NYSE,Consumer Cyclicals,63.1,106.1,80.0,"6,896.6",89.3,90.5,86.8
ALX,"Alexander's, Inc.",NYSE,Finance,388.0,437.2,230.3,"1,161.9",5.1,5.1,5.1
AMAT,"Applied Materials, Inc.",NASDAQ,Technology,12.3,24.9,86.5,"75,827.7","1,294.3","1,221.5",860.3
AME,"AMETEK, Inc.",NYSE,Industrials,31.3,52.6,124.6,"28,408.0",240.2,245.9,229.6
AMED,"Amedisys, Inc.",NASDAQ,Healthcare,10.5,29.4,92.7,"3,417.6",29.4,33.4,32.5
AMG,"Affiliated Managers Group, Inc.",NYSE,Finance,100.5,212.2,124.9,"4,734.3",51.5,55.6,38.2
AMGN,Amgen Inc.,NASDAQ,Healthcare,67.9,159.3,267.2,"142,644.7",793.2,760.0,534.9
AMKR,"Amkor Technology, Inc.",NASDAQ,Technology,5.7,7.1,20.0,"4,911.5",168.3,237.3,244.8
AMN,"AMN Healthcare Services, Inc.",NYSE,Healthcare,5.1,19.6,121.0,"5,193.6",40.5,46.6,43.3
AMP,"Ameriprise Financial, Inc.",NYSE,Finance,53.6,132.3,300.0,"31,638.4",226.3,184.5,108.2
AMRC,"Ameresco, Inc. Class A",NYSE,Business Services,13.1,7.0,60.1,"3,162.4",25.4,28.4,33.8
AMSF,"AMERISAFE, Inc.",NASDAQ,Finance,24.6,42.4,57.8,"1,018.0",18.1,18.8,19.3
AMT,American Tower Corporation,NYSE,Finance,63.5,98.9,198.7,"91,683.4",393.0,396.5,465.6
AMZN,"Amazon.com, Inc.",NASDAQ,Consumer Non-Cyclicals,9.7,15.5,111.0,"1,178,293.0","9,095.1","9,260.1","10,187.6"
AN,"AutoNation, Inc.",NYSE,Consumer Cyclicals,35.8,60.4,105.2,"5,733.3",132.0,113.1,56.0
ANDE,"Andersons, Inc.",NASDAQ,Consumer Non-Cyclicals,27.0,53.1,34.5,"1,213.2",27.8,28.9,33.9
ANSS,"ANSYS, Inc.",NASDAQ,Technology,60.5,82.0,216.5,"18,994.9",92.4,91.9,87.1
AON,Aon Plc Class A,NYSE,Finance,48.4,94.8,282.3,"58,453.8",323.3,285.1,210.9
AOS,A. O. Smith Corporation,NYSE,Industrials,10.6,28.2,51.9,"8,023.6",156.2,152.8,128.5
APA,APA Corp.,NASDAQ,Energy,98.9,62.7,45.7,"15,046.5",384.1,377.0,326.5
APD,"Air Products and Chemicals, Inc.",NYSE,Non-Energy Materials,88.0,144.2,249.1,"55,897.8",210.6,214.0,221.8
APH,Amphenol Corporation Class A,NYSE,Technology,13.6,26.9,73.9,"43,535.5",663.0,618.9,594.8
APO,Apollo Global Management Inc.,NYSE,Finance,14.9,23.6,54.3,"30,913.4",121.8,163.0,571.0
APTV,Aptiv PLC,NYSE,Consumer Cyclicals,26.8,72.7,88.5,"24,221.4",328.2,296.1,270.9
ARCB,ArcBest Corporation,NASDAQ,Industrials,18.1,46.4,76.2,"1,905.2",25.4,26.0,24.5
ARCC,Ares Capital Corporation,NASDAQ,Finance,15.9,15.6,19.6,"9,839.9",205.1,314.1,508.3
ARCO,"Arcos Dorados Holdings, Inc. Class A",NYSE,Consumer Services,20.9,5.3,7.4,"1,533.1",133.1,133.8,130.6
ARE,"Alexandria Real Estate Equities, Inc.",NYSE,Finance,72.4,88.7,142.1,"22,988.6",62.0,72.0,164.1
ARI,"Apollo Commercial Real Estate Finance, Inc.",NYSE,Finance,14.7,16.4,11.3,"1,602.8",20.6,46.8,140.6
ARLP,"Alliance Resource Partners, L.P.",NASDAQ,Energy,39.7,43.1,24.0,"3,003.1",73.6,74.1,127.2
AROC,Archrock Inc.,NYSE,Energy,9.3,32.6,7.4,"1,151.6",64.1,68.3,155.6
ARW,"Arrow Electronics, Inc.",NYSE,Technology,41.3,57.9,99.7,"6,378.1",111.7,96.9,64.2
ASB,Associated Banc-Corp,NYSE,Finance,12.5,18.6,23.8,"3,571.8",174.0,152.0,150.3
ASGN,ASGN Inc,NYSE,Business Services,11.2,33.2,84.7,"4,697.7",36.9,52.3,50.2
ASH,Ashland Inc.,NYSE,Non-Energy Materials,63.1,119.8,102.9,"5,607.2",78.3,69.2,54.1
ATCO,Atlas Corp.,NYSE,Industrials,15.1,18.0,14.8,"4,163.0",58.4,95.7,280.5
ATEC,"Alphatec Holdings, Inc.",NASDAQ,Healthcare,21.1,16.9,10.1,"1,098.9",7.4,8.4,104.7
ATGE,Adtalem Global Education Inc.,NYSE,Consumer Non-Cyclicals,37.8,47.5,40.6,"1,837.2",66.6,63.9,45.4
ATI,ATI Inc.,NYSE,Non-Energy Materials,45.4,34.8,30.0,"3,878.9",106.4,108.7,129.9
ATO,Atmos Energy Corporation,NYSE,Utilities,32.4,55.7,104.7,"14,467.6",90.4,100.8,139.9
ATR,"AptarGroup, Inc.",NYSE,Non-Energy Materials,52.4,66.8,99.1,"6,474.2",66.1,64.7,65.3
ATRC,"AtriCure, Inc.",NASDAQ,Healthcare,11.5,20.0,40.5,"1,928.5",16.2,27.5,46.4
ATRI,Atrion Corporation,NASDAQ,Healthcare,244.4,340.0,639.7,"1,189.5",2.0,1.9,1.8
ATSG,"Air Transport Services Group, Inc.",NASDAQ,Industrials,6.0,8.6,28.5,"2,097.9",64.1,64.9,74.4
