Symbol,Name,Stock Exchange,RBICS Economy,Recent Closing Price,Market Value,Purchase Price,Common Shares
A,"Agilent Technologies, Inc.",NYSE,Healthcare,130.6,"38,651.1",43.6,324.0
AA,Alcoa Corporation,NYSE,Non-Energy Materials,39.4,"7,085.5",28.1,182.9
AAL,"American Airlines Group, Inc.",NASDAQ,Industrials,13.2,"8,578.0",46.7,507.3
AAON,"AAON, Inc.",NASDAQ,Industrials,55.6,"2,950.8",33.1,52.7
AAP,"Advance Auto Parts, Inc.",NYSE,Consumer Cyclicals,169.9,"10,211.7",169.1,73.7
AAPL,Apple Inc.,NASDAQ,Technology,142.4,"2,288,636.0",28.2,"21,344.7"
AAT,"American Assets Trust, Inc.",NYSE,Finance,26.0,"1,574.3",43.1,45.7
AAWW,"Atlas Air Worldwide Holdings, Inc.",NASDAQ,Industrials,99.9,"2,829.0",52.2,25.0
AB,AllianceBernstein Holding L.P.,NYSE,Finance,34.2,"3,332.9",23.5,96.7
ABBV,"AbbVie, Inc.",NYSE,Healthcare,144.4,"255,330.8",62.6,"1,592.5"
ABC,AmerisourceBergen Corporation,NYSE,Healthcare,142.4,"29,509.4",80.8,220.1
ABCB,Ameris Bancorp,NASDAQ,Finance,50.4,"3,495.7",43.6,34.9
ABG,"Asbury Automotive Group, Inc.",NYSE,Consumer Cyclicals,156.9,"3,472.4",61.7,21.3
ABM,ABM Industries Incorporated,NYSE,Business Services,40.9,"2,704.9",39.1,55.6
ABMD,"ABIOMED, Inc.",NASDAQ,Healthcare,257.9,"11,723.0",125.2,43.7
ABR,"Arbor Realty Trust, Inc.",NYSE,Finance,12.3,"2,099.8",7.5,51.4
ABT,Abbott Laboratories,NYSE,Healthcare,103.5,"181,286.3",38.4,"1,472.9"
ACAD,ACADIA Pharmaceuticals Inc.,NASDAQ,Healthcare,16.0,"2,583.0",28.8,121.4
ACGL,Arch Capital Group Ltd.,NASDAQ,Finance,48.1,"17,748.1",28.8,368.4
ACHC,"Acadia Healthcare Company, Inc.",NASDAQ,Healthcare,82.4,"7,484.4",33.1,86.7
ACIW,"ACI Worldwide, Inc.",NASDAQ,Technology,22.2,"2,534.1",18.2,117.3
ACLS,"Axcelis Technologies, Inc.",NASDAQ,Technology,52.1,"1,719.4",14.6,29.5
ACM,AECOM,NYSE,Industrials,70.4,"9,828.5",29.7,153.9
