Ticker,MthCalDt,MthPrc
JJSF,20170131,127.57
JJSF,20170228,133.8
JJSF,20170331,135.56
JJSF,20170428,134.58
JJSF,20170531,130.1
JJSF,20170630,132.07
JJSF,20170731,131.4
JJSF,20170831,127.49
JJSF,20170929,131.3
JJSF,20171031,133.17
JJSF,20171130,151.11
JJSF,20171229,151.83
JJSF,20180131,138.44
JJSF,20180228,134.33
JJSF,20180329,136.56
JJSF,20180430,137.41
JJSF,20180531,141.62
JJSF,20180629,152.47
JJSF,20180731,144.96
JJSF,20180831,145.5
JJSF,20180928,150.89
JJSF,20181031,156.16
JJSF,20181130,156.87
JJSF,20181231,144.59
JJSF,20190131,154.35
JJSF,20190228,155.28
JJSF,20190329,158.84
JJSF,20190430,157.18
JJSF,20190531,160.85
JJSF,20190628,160.95
JJSF,20190731,185.84
JJSF,20190830,193.06
JJSF,20190930,192
JJSF,20191031,190.76
JJSF,20191129,185
JJSF,20191231,184.27
JJSF,20200131,165.84
JJSF,20200228,160.82
JJSF,20200331,121
JJSF,20200430,127.03
JJSF,20200529,128.63
JJSF,20200630,127.13
JJSF,20200731,123.13
JJSF,20200831,135.95
JJSF,20200930,130.39
JJSF,20201030,135.57
JJSF,20201130,145.39
JJSF,20201231,155.37
JJSF,20210129,152.66
JJSF,20210226,158.76
JJSF,20210331,157.03
JJSF,20210430,164.61
JJSF,20210528,175.58
JJSF,20210630,174.41
JJSF,20210730,164.38
JJSF,20210831,163.76
JJSF,20210930,152.82
JJSF,20211029,147.55
JJSF,20211130,136.58
JJSF,20211231,157.96
JJSF,20220131,151.69
JJSF,20220228,163.72
JJSF,20220331,155.1
PLXS,20170131,54.3
PLXS,20170228,56.07
PLXS,20170331,57.8
PLXS,20170428,51.99
PLXS,20170531,51.98
PLXS,20170630,52.57
PLXS,20170731,53.61
PLXS,20170831,52.08
PLXS,20170929,56.08
PLXS,20171031,61.43
PLXS,20171130,62.51
PLXS,20171229,60.72
PLXS,20180131,59.75
PLXS,20180228,60.32
PLXS,20180329,59.73
PLXS,20180430,54.84
PLXS,20180531,58.15
PLXS,20180629,59.54
PLXS,20180731,59.42
PLXS,20180831,63.29
PLXS,20180928,58.51
PLXS,20181031,58.4
PLXS,20181130,61.04
PLXS,20181231,51.08
PLXS,20190131,56.12
PLXS,20190228,61.76
PLXS,20190329,60.95
PLXS,20190430,60.18
PLXS,20190531,49.53
PLXS,20190628,58.37
PLXS,20190731,59.71
PLXS,20190830,57.21
PLXS,20190930,62.51
PLXS,20191031,73.94
PLXS,20191129,75.9
PLXS,20191231,76.94
PLXS,20200131,71.12
PLXS,20200228,66.35
PLXS,20200331,54.56
PLXS,20200430,62.69
PLXS,20200529,64.22
PLXS,20200630,70.56
PLXS,20200731,74.29
PLXS,20200831,76.07
PLXS,20200930,70.63
PLXS,20201030,69.54
PLXS,20201130,74.71
PLXS,20201231,78.21
PLXS,20210129,76.92
PLXS,20210226,83.98
PLXS,20210331,91.84
PLXS,20210430,92.44
PLXS,20210528,98.81
PLXS,20210630,91.41
PLXS,20210730,90.32
PLXS,20210831,91.83
PLXS,20210930,89.41
PLXS,20211029,87.32
PLXS,20211130,84.14
PLXS,20211231,95.89
PLXS,20220131,77.52
PLXS,20220228,81.47
PLXS,20220331,81.81
ORCL,20170131,40.11
ORCL,20170228,42.59
ORCL,20170331,44.61
ORCL,20170428,44.96
ORCL,20170531,45.39
ORCL,20170630,50.14
ORCL,20170731,49.93
ORCL,20170831,50.33
ORCL,20170929,48.35
ORCL,20171031,50.9
ORCL,20171130,49.06
ORCL,20171229,47.28
ORCL,20180131,51.59
ORCL,20180228,50.67
ORCL,20180329,45.75
ORCL,20180430,45.67
ORCL,20180531,46.72
ORCL,20180629,44.06
ORCL,20180731,47.68
ORCL,20180831,48.58
ORCL,20180928,51.56
ORCL,20181031,48.84
ORCL,20181130,48.76
ORCL,20181231,45.15
ORCL,20190131,50.23
ORCL,20190228,52.13
ORCL,20190329,53.71
ORCL,20190430,55.33
ORCL,20190531,50.6
ORCL,20190628,56.97
ORCL,20190731,56.3
ORCL,20190830,52.06
ORCL,20190930,55.03
ORCL,20191031,54.49
ORCL,20191129,56.14
ORCL,20191231,52.98
ORCL,20200131,52.45
ORCL,20200228,49.46
ORCL,20200331,48.33
ORCL,20200430,52.97
ORCL,20200529,53.77
ORCL,20200630,55.27
ORCL,20200731,55.45
ORCL,20200831,57.22
ORCL,20200930,59.7
ORCL,20201030,56.11
ORCL,20201130,57.72
ORCL,20201231,64.69
ORCL,20210129,60.43
ORCL,20210226,64.51
ORCL,20210331,70.17
ORCL,20210430,75.79
ORCL,20210528,78.74
ORCL,20210630,77.84
ORCL,20210730,87.14
ORCL,20210831,89.13
ORCL,20210930,87.13
ORCL,20211029,95.94
ORCL,20211130,90.74
ORCL,20211231,87.21
ORCL,20220131,81.16
ORCL,20220228,75.97
ORCL,20220331,82.73
MSFT,20170131,64.65
MSFT,20170228,63.98
MSFT,20170331,65.86
MSFT,20170428,68.46
MSFT,20170531,69.84
MSFT,20170630,68.93
MSFT,20170731,72.7
MSFT,20170831,74.77
MSFT,20170929,74.49
MSFT,20171031,83.18
MSFT,20171130,84.17
MSFT,20171229,85.54
MSFT,20180131,95.01
MSFT,20180228,93.77
MSFT,20180329,91.27
MSFT,20180430,93.52
MSFT,20180531,98.84
MSFT,20180629,98.61
MSFT,20180731,106.08
MSFT,20180831,112.33
MSFT,20180928,114.37
MSFT,20181031,106.81
MSFT,20181130,110.89
MSFT,20181231,101.57
MSFT,20190131,104.43
MSFT,20190228,112.03
MSFT,20190329,117.94
MSFT,20190430,130.6
MSFT,20190531,123.68
MSFT,20190628,133.96
MSFT,20190731,136.27
MSFT,20190830,137.86
MSFT,20190930,139.03
MSFT,20191031,143.37
MSFT,20191129,151.38
MSFT,20191231,157.7
MSFT,20200131,170.23
MSFT,20200228,162.01
MSFT,20200331,157.71
MSFT,20200430,179.21
MSFT,20200529,183.25
MSFT,20200630,203.51
MSFT,20200731,205.01
MSFT,20200831,225.53
MSFT,20200930,210.33
MSFT,20201030,202.47
MSFT,20201130,214.07
MSFT,20201231,222.42
MSFT,20210129,231.96
MSFT,20210226,232.38
MSFT,20210331,235.77
MSFT,20210430,252.18
MSFT,20210528,249.68
MSFT,20210630,270.9
MSFT,20210730,284.91
MSFT,20210831,301.88
MSFT,20210930,281.92
MSFT,20211029,331.62
MSFT,20211130,330.59
MSFT,20211231,336.32
MSFT,20220131,310.98
MSFT,20220228,298.79
MSFT,20220331,308.31
TROW,20170131,67.44
TROW,20170228,71.21
TROW,20170331,68.15
TROW,20170428,70.89
TROW,20170531,70.44
TROW,20170630,74.21
TROW,20170731,82.72
TROW,20170831,84.36
TROW,20170929,90.65
TROW,20171031,92.9
TROW,20171130,102.92
TROW,20171229,104.93
TROW,20180131,111.63
TROW,20180228,111.9
TROW,20180329,107.97
TROW,20180430,113.82
TROW,20180531,121.42
TROW,20180629,116.09
TROW,20180731,119.08
TROW,20180831,115.89
TROW,20180928,109.18
TROW,20181031,96.99
TROW,20181130,99.36
TROW,20181231,92.32
TROW,20190131,93.46
TROW,20190228,100.43
TROW,20190329,100.12
TROW,20190430,107.5
TROW,20190531,101.14
TROW,20190628,109.71
TROW,20190731,113.39
TROW,20190830,110.62
TROW,20190930,114.25
TROW,20191031,115.8
TROW,20191129,123.56
TROW,20191231,121.84
TROW,20200131,133.53
TROW,20200228,118.01
TROW,20200331,97.65
TROW,20200430,115.63
TROW,20200529,120.9
TROW,20200630,123.5
TROW,20200731,138.1
TROW,20200831,139.21
TROW,20200930,128.22
TROW,20201030,126.66
TROW,20201130,143.41
TROW,20201231,151.39
TROW,20210129,156.48
TROW,20210226,162.14
TROW,20210331,171.6
TROW,20210430,179.2
TROW,20210528,191.35
TROW,20210630,197.97
TROW,20210630,197.97
TROW,20210730,204.16
TROW,20210831,223.87
TROW,20210930,196.7
TROW,20211029,216.88
TROW,20211130,199.95
TROW,20211231,196.64
TROW,20220131,154.43
TROW,20220228,144.56
TROW,20220331,151.19
HON,20170131,118.32
HON,20170228,124.5
HON,20170331,124.87
HON,20170428,131.14
HON,20170531,132.99
HON,20170630,133.29
HON,20170731,136.12
HON,20170831,138.27
HON,20170929,141.74
HON,20171031,144.16
HON,20171130,155.96
HON,20171229,153.36
HON,20180131,159.67
HON,20180228,151.11
HON,20180329,144.51
HON,20180430,144.68
HON,20180531,147.91
HON,20180629,144.05
HON,20180731,159.65
HON,20180831,159.06
HON,20180928,166.4
HON,20181031,144.82
HON,20181031,144.82
HON,20181130,146.75
HON,20181231,132.12
HON,20190131,143.63
HON,20190228,154.07
HON,20190329,158.92
HON,20190430,173.63
HON,20190531,164.31
HON,20190628,174.59
HON,20190731,172.46
HON,20190830,164.62
HON,20190930,169.2
HON,20191031,172.73
HON,20191129,178.55
HON,20191231,177
HON,20200131,173.22
HON,20200228,162.17
HON,20200331,133.79
HON,20200430,141.9
HON,20200529,145.85
HON,20200630,144.59
HON,20200731,149.37
HON,20200831,165.55
HON,20200930,164.61
HON,20201030,164.95
HON,20201130,203.92
HON,20201231,212.7
HON,20210129,195.37
HON,20210226,202.35
HON,20210331,217.07
HON,20210430,223.04
HON,20210528,230.91
HON,20210630,219.35
HON,20210730,233.79
HON,20210831,231.91
HON,20210930,212.28
HON,20211029,218.62
HON,20211130,202.24
HON,20211231,208.51
HON,20220131,204.48
HON,20220228,189.75
