Ticker,MthCalDt,MthPrc
JJSF,20120131,51.03
JJSF,20120229,50.17
JJSF,20120330,52.46
JJSF,20120430,56.06
JJSF,20120531,55.07
JJSF,20120629,59.1
JJSF,20120731,57.79
JJSF,20120831,57.1
JJSF,20120928,57.33
JJSF,20121031,57.27
JJSF,20121130,62.9
JJSF,20121231,63.8831
JJSF,20130131,68.15
JJSF,20130228,69.22
JJSF,20130328,76.89
JJSF,20130430,75.02
JJSF,20130531,75.9
JJSF,20130628,77.8
JJSF,20130731,79.68
JJSF,20130830,76.92
JJSF,20130930,80.72
JJSF,20131031,85.57
JJSF,20131129,85.92
JJSF,20131231,88.59
JJSF,20140131,88.1
JJSF,20140228,92.88
JJSF,20140331,95.97
JJSF,20140430,93.6
JJSF,20140530,93.67
JJSF,20140630,94.12
JJSF,20140731,90.09
JJSF,20140829,94.71
JJSF,20140930,93.56
JJSF,20141031,103.03
JJSF,20141128,105.05
JJSF,20141231,108.77
JJSF,20150130,98.12
JJSF,20150227,101.19
JJSF,20150331,106.7
JJSF,20150430,104.33
JJSF,20150529,107.8
JJSF,20150630,110.67
JJSF,20150731,118.36
JJSF,20150831,113.96
JJSF,20150930,113.66
JJSF,20151030,122.79
JJSF,20151130,116.68
JJSF,20151231,116.67
JJSF,20160129,107.98
JJSF,20160229,110.79
JJSF,20160331,108.28
JJSF,20160429,101.13
JJSF,20160531,105.5
JJSF,20160630,119.27
JJSF,20160729,121.61
JJSF,20160831,122
JJSF,20160930,119.12
JJSF,20161031,122.15
JJSF,20161130,121.43
JJSF,20161230,133.43
JJSF,20170131,127.57
JJSF,20170228,133.8
JJSF,20170331,135.56
JJSF,20170428,134.58
JJSF,20170531,130.1
JJSF,20170630,132.07
JJSF,20170731,131.4
JJSF,20170831,127.49
JJSF,20170929,131.3
JJSF,20171031,133.17
JJSF,20171130,151.11
JJSF,20171229,151.83
JJSF,20180131,138.44
JJSF,20180228,134.33
JJSF,20180329,136.56
JJSF,20180430,137.41
JJSF,20180531,141.62
JJSF,20180629,152.47
JJSF,20180731,144.96
JJSF,20180831,145.5
JJSF,20180928,150.89
JJSF,20181031,156.16
JJSF,20181130,156.87
JJSF,20181231,144.59
JJSF,20190131,154.35
JJSF,20190228,155.28
JJSF,20190329,158.84
JJSF,20190430,157.18
JJSF,20190531,160.85
JJSF,20190628,160.95
JJSF,20190731,185.84
JJSF,20190830,193.06
JJSF,20190930,192
JJSF,20191031,190.76
JJSF,20191129,185
JJSF,20191231,184.27
JJSF,20200131,165.84
JJSF,20200228,160.82
JJSF,20200331,121
JJSF,20200430,127.03
JJSF,20200529,128.63
JJSF,20200630,127.13
JJSF,20200731,123.13
JJSF,20200831,135.95
JJSF,20200930,130.39
JJSF,20201030,135.57
JJSF,20201130,145.39
JJSF,20201231,155.37
JJSF,20210129,152.66
JJSF,20210226,158.76
JJSF,20210331,157.03
JJSF,20210430,164.61
JJSF,20210528,175.58
JJSF,20210630,174.41
JJSF,20210730,164.38
JJSF,20210831,163.76
JJSF,20210930,152.82
JJSF,20211029,147.55
JJSF,20211130,136.58
JJSF,20211231,157.96
JJSF,20220131,151.69
JJSF,20220228,163.72
JJSF,20220331,155.1
PLXS,20120131,36.22
PLXS,20120229,34.7
PLXS,20120330,34.99
PLXS,20120430,32.37
PLXS,20120531,28
PLXS,20120629,28.2
PLXS,20120731,28.72
PLXS,20120831,29.89
PLXS,20120928,30.29
PLXS,20121031,26.91
PLXS,20121130,23.15
PLXS,20121231,25.8
PLXS,20130131,25.52
PLXS,20130228,24.36
PLXS,20130328,24.31
PLXS,20130430,26.97
PLXS,20130531,29.18
PLXS,20130628,29.89
PLXS,20130731,34.97
PLXS,20130830,32.74
PLXS,20130930,37.16
PLXS,20131031,38.28
PLXS,20131129,40.37
PLXS,20131231,43.29
PLXS,20140131,39.1
PLXS,20140228,41.15
PLXS,20140331,40.07
PLXS,20140430,41.92
PLXS,20140530,41.76
PLXS,20140630,43.29
PLXS,20140731,39.33
PLXS,20140829,41.19
PLXS,20140930,36.93
PLXS,20141031,41.35
PLXS,20141128,39.01
PLXS,20141231,41.21
PLXS,20150130,37.89
PLXS,20150227,40.25
PLXS,20150331,40.77
PLXS,20150430,43.05
PLXS,20150529,45.48
PLXS,20150630,43.88
PLXS,20150731,38.14
PLXS,20150831,38.07
PLXS,20150930,38.58
PLXS,20151030,34.62
PLXS,20151130,37.2
PLXS,20151231,34.92
PLXS,20160129,34.95
PLXS,20160229,36.39
PLXS,20160331,39.52
PLXS,20160429,41.76
PLXS,20160531,43.92
PLXS,20160630,43.2
PLXS,20160729,45.94
PLXS,20160831,46.15
PLXS,20160930,46.78
PLXS,20161031,45.81
PLXS,20161130,51.1
PLXS,20161230,54.04
PLXS,20170131,54.3
PLXS,20170228,56.07
PLXS,20170331,57.8
PLXS,20170428,51.99
PLXS,20170531,51.98
PLXS,20170630,52.57
PLXS,20170731,53.61
PLXS,20170831,52.08
PLXS,20170929,56.08
PLXS,20171031,61.43
PLXS,20171130,62.51
PLXS,20171229,60.72
PLXS,20180131,59.75
PLXS,20180228,60.32
PLXS,20180329,59.73
PLXS,20180430,54.84
PLXS,20180531,58.15
PLXS,20180629,59.54
PLXS,20180731,59.42
PLXS,20180831,63.29
PLXS,20180928,58.51
PLXS,20181031,58.4
PLXS,20181130,61.04
PLXS,20181231,51.08
PLXS,20190131,56.12
PLXS,20190228,61.76
PLXS,20190329,60.95
PLXS,20190430,60.18
PLXS,20190531,49.53
PLXS,20190628,58.37
PLXS,20190731,59.71
PLXS,20190830,57.21
PLXS,20190930,62.51
PLXS,20191031,73.94
PLXS,20191129,75.9
PLXS,20191231,76.94
PLXS,20200131,71.12
PLXS,20200228,66.35
PLXS,20200331,54.56
PLXS,20200430,62.69
PLXS,20200529,64.22
PLXS,20200630,70.56
PLXS,20200731,74.29
PLXS,20200831,76.07
PLXS,20200930,70.63
PLXS,20201030,69.54
PLXS,20201130,74.71
PLXS,20201231,78.21
PLXS,20210129,76.92
PLXS,20210226,83.98
PLXS,20210331,91.84
PLXS,20210430,92.44
PLXS,20210528,98.81
PLXS,20210630,91.41
PLXS,20210730,90.32
PLXS,20210831,91.83
PLXS,20210930,89.41
PLXS,20211029,87.32
PLXS,20211130,84.14
PLXS,20211231,95.89
PLXS,20220131,77.52
PLXS,20220228,81.47
PLXS,20220331,81.81
ORCL,20120131,28.21
ORCL,20120229,29.255
ORCL,20120330,29.16
ORCL,20120430,29.4
ORCL,20120531,26.47
ORCL,20120629,29.7
ORCL,20120731,30.2
ORCL,20120831,31.65
ORCL,20120928,31.46
ORCL,20121031,31.08
ORCL,20121130,32.175
ORCL,20121231,33.32
ORCL,20121231,33.32
ORCL,20121231,33.32
ORCL,20130131,35.51
ORCL,20130228,34.24
ORCL,20130328,32.33
ORCL,20130430,32.78
ORCL,20130531,33.78
ORCL,20130628,30.71
ORCL,20130731,32.35
ORCL,20130830,31.86
ORCL,20130930,33.17
ORCL,20131031,33.5
ORCL,20131129,35.29
ORCL,20131231,38.26
ORCL,20140131,36.9
ORCL,20140228,39.11
ORCL,20140331,40.91
ORCL,20140430,40.88
ORCL,20140530,42.02
ORCL,20140630,40.53
ORCL,20140731,40.39
ORCL,20140829,41.53
ORCL,20140930,38.28
ORCL,20141031,39.05
ORCL,20141128,42.41
ORCL,20141231,44.97
ORCL,20150130,41.89
ORCL,20150227,43.82
ORCL,20150331,43.15
ORCL,20150430,43.62
ORCL,20150529,43.49
ORCL,20150630,40.3
ORCL,20150731,39.94
ORCL,20150831,37.09
ORCL,20150930,36.12
ORCL,20151030,38.84
ORCL,20151130,38.97
ORCL,20151231,36.53
ORCL,20160129,36.31
ORCL,20160229,36.78
ORCL,20160331,40.91
ORCL,20160429,39.86
ORCL,20160531,40.2
ORCL,20160630,40.93
ORCL,20160729,41.04
ORCL,20160831,41.22
ORCL,20160930,39.28
ORCL,20161031,38.42
ORCL,20161130,40.19
ORCL,20161230,38.45
ORCL,20170131,40.11
ORCL,20170228,42.59
ORCL,20170331,44.61
ORCL,20170428,44.96
ORCL,20170531,45.39
ORCL,20170630,50.14
ORCL,20170731,49.93
ORCL,20170831,50.33
ORCL,20170929,48.35
ORCL,20171031,50.9
ORCL,20171130,49.06
ORCL,20171229,47.28
ORCL,20180131,51.59
ORCL,20180228,50.67
ORCL,20180329,45.75
ORCL,20180430,45.67
ORCL,20180531,46.72
ORCL,20180629,44.06
ORCL,20180731,47.68
ORCL,20180831,48.58
ORCL,20180928,51.56
ORCL,20181031,48.84
ORCL,20181130,48.76
ORCL,20181231,45.15
ORCL,20190131,50.23
ORCL,20190228,52.13
ORCL,20190329,53.71
ORCL,20190430,55.33
ORCL,20190531,50.6
ORCL,20190628,56.97
ORCL,20190731,56.3
ORCL,20190830,52.06
ORCL,20190930,55.03
ORCL,20191031,54.49
ORCL,20191129,56.14
ORCL,20191231,52.98
ORCL,20200131,52.45
ORCL,20200228,49.46
ORCL,20200331,48.33
ORCL,20200430,52.97
ORCL,20200529,53.77
ORCL,20200630,55.27
ORCL,20200731,55.45
ORCL,20200831,57.22
ORCL,20200930,59.7
ORCL,20201030,56.11
ORCL,20201130,57.72
ORCL,20201231,64.69
ORCL,20210129,60.43
ORCL,20210226,64.51
ORCL,20210331,70.17
ORCL,20210430,75.79
ORCL,20210528,78.74
ORCL,20210630,77.84
ORCL,20210730,87.14
ORCL,20210831,89.13
ORCL,20210930,87.13
ORCL,20211029,95.94
ORCL,20211130,90.74
ORCL,20211231,87.21
ORCL,20220131,81.16
ORCL,20220228,75.97
ORCL,20220331,82.73
MSFT,20120131,29.53
MSFT,20120229,31.74
MSFT,20120330,32.255
MSFT,20120430,32.015
MSFT,20120531,29.19
MSFT,20120629,30.59
MSFT,20120731,29.47
MSFT,20120831,30.82
MSFT,20120928,29.76
MSFT,20121031,28.54
MSFT,20121130,26.615
MSFT,20121231,26.7097
MSFT,20130131,27.45
MSFT,20130228,27.8
MSFT,20130328,28.605
MSFT,20130430,33.1
MSFT,20130531,34.9
MSFT,20130628,34.545
MSFT,20130731,31.84
MSFT,20130830,33.4
MSFT,20130930,33.28
MSFT,20131031,35.405
MSFT,20131129,38.13
MSFT,20131231,37.41
MSFT,20140131,37.84
MSFT,20140228,38.31
MSFT,20140331,40.99
MSFT,20140430,40.4
MSFT,20140530,40.94
MSFT,20140630,41.7
MSFT,20140731,43.16
MSFT,20140829,45.43
MSFT,20140930,46.36
MSFT,20141031,46.95
MSFT,20141128,47.81
MSFT,20141231,46.45
MSFT,20150130,40.4
MSFT,20150227,43.85
MSFT,20150331,40.655
MSFT,20150430,48.64
MSFT,20150529,46.86
MSFT,20150630,44.15
MSFT,20150731,46.7
MSFT,20150831,43.52
MSFT,20150930,44.26
MSFT,20151030,52.64
MSFT,20151130,54.35
MSFT,20151231,55.48
MSFT,20160129,55.09
MSFT,20160229,50.88
MSFT,20160331,55.23
MSFT,20160429,49.87
MSFT,20160531,53
MSFT,20160630,51.17
MSFT,20160729,56.68
MSFT,20160831,57.46
MSFT,20160930,57.6
MSFT,20161031,59.92
MSFT,20161130,60.26
MSFT,20161230,62.14
MSFT,20170131,64.65
MSFT,20170228,63.98
MSFT,20170331,65.86
MSFT,20170428,68.46
MSFT,20170531,69.84
MSFT,20170630,68.93
MSFT,20170731,72.7
MSFT,20170831,74.77
MSFT,20170929,74.49
MSFT,20171031,83.18
MSFT,20171130,84.17
MSFT,20171229,85.54
MSFT,20180131,95.01
MSFT,20180228,93.77
MSFT,20180329,91.27
MSFT,20180430,93.52
MSFT,20180531,98.84
MSFT,20180629,98.61
MSFT,20180731,106.08
MSFT,20180831,112.33
MSFT,20180928,114.37
MSFT,20181031,106.81
MSFT,20181130,110.89
MSFT,20181231,101.57
MSFT,20190131,104.43
MSFT,20190228,112.03
MSFT,20190329,117.94
MSFT,20190430,130.6
MSFT,20190531,123.68
MSFT,20190628,133.96
MSFT,20190731,136.27
MSFT,20190830,137.86
MSFT,20190930,139.03
MSFT,20191031,143.37
